Hospital,Hospital Current Display,Metric,Metric Display Projection,Metric Display Current,Entity,Metric Key,Metric Projection Seq,Metric Current Seq,Hospital Seq,Metric Display PD,Entity Display PD,Entity Display Seq,Metric PD Seq,Metric Display Trend,Metric Trend Seq
WCMC+CMC,WCMC+CMC,Surgical Procedures - Total,Surgical Procedures - Total,Surgical Procedures - Total,WCMC,17,9.6,8.6,2,Surgical Procedures - Total,CMC/WC,11,9.6,Surgical Procedures - Total,9.6
WCMC+CMC,WCMC+CMC,Surgical Procedures - Total,Surgical Procedures - Total,Surgical Procedures - Total,CMC,17,9.6,8.6,2,Surgical Procedures - Total,CMC/WC,11,9.6,Surgical Procedures - Total,9.6
WCMC+CMC,WCMC+CMC,Average Length of Stay,Average Length of Stay,Average Length of Stay**,WCMC,4,4,4,2,Average Length of Stay,CMC/WC,11,4,Average Length of Stay,1.1
WCMC+CMC,WCMC+CMC,Average Length of Stay,Average Length of Stay,Average Length of Stay**,CMC,4,4,4,2,Average Length of Stay,CMC/WC,11,4,Average Length of Stay,1.1
WCMC+CMC,WCMC+CMC,JMH Days,JMH Days,JMH Days,WCMC,21,4.1,4.1,2,JMH Days,CMC/WC,11,null,JMH Days,1.2
WCMC+CMC,WCMC+CMC,JMH Days,JMH Days,JMH Days,CMC,21,4.1,4.1,2,JMH Days,CMC/WC,11,null,JMH Days,1.2
WCMC+CMC,WCMC+CMC,Discharges,Discharges,Discharges*,WCMC,2,2,2,2,Discharges,CMC/WC,11,2,JMH Discharges,2
WCMC+CMC,WCMC+CMC,Discharges,Discharges,Discharges*,CMC,2,2,2,2,Discharges,CMC/WC,11,2,JMH Discharges,2
WCMC+CMC,WCMC+CMC,O/E,O/E,O/E***,WCMC,6,7,6,2,O/E*,CMC/WC,11,7,O/E,7
WCMC+CMC,WCMC+CMC,O/E,O/E,O/E***,CMC,6,7,6,2,O/E*,CMC/WC,11,7,O/E,7
WCMC+CMC,WCMC+CMC,CMI,CMI,CMI,WCMC,22,7.1,7.1,2,CMI,CMC/WC,11,null,CMI,7.1
WCMC+CMC,WCMC+CMC,CMI,CMI,CMI,CMC,22,7.1,7.1,2,CMI,CMC/WC,11,null,CMI,7.1
WCMC+CMC,WCMC+CMC,Observation Cases - Inpatient,Observation Cases - Inpatient,Observation Cases - Inpatient,WCMC,31,2.2,2.2,2,Observation Cases - Inpatient,CMC/WC,11,2.2,Observation Cases - Inpatient,2.2
WCMC+CMC,WCMC+CMC,Observation Cases - Inpatient,Observation Cases - Inpatient,Observation Cases - Inpatient,CMC,31,2.2,2.2,2,Observation Cases - Inpatient,CMC/WC,11,2.2,Observation Cases - Inpatient,2.2
WCMC+CMC,WCMC+CMC,Observation Cases - Outpatient,Observation Cases - Outpatient,Observation Cases - Outpatient,WCMC,32,2.3,2.3,2,Observation Cases - Outpatient,CMC/WC,11,2.3,Observation Cases - Outpatient,2.3
WCMC+CMC,WCMC+CMC,Observation Cases - Outpatient,Observation Cases - Outpatient,Observation Cases - Outpatient,CMC,32,2.3,2.3,2,Observation Cases - Outpatient,CMC/WC,11,2.3,Observation Cases - Outpatient,2.3
WCMC+CMC,WCMC+CMC,Observation Cases - Total,Observation Cases - Total,Observation Cases - Total,WCMC,33,2.4,2.4,2,Observation Cases - Total,CMC/WC,11,2.4,Observation Cases - Total,2.4
WCMC+CMC,WCMC+CMC,Observation Cases - Total,Observation Cases - Total,Observation Cases - Total,CMC,33,2.4,2.4,2,Observation Cases - Total,CMC/WC,11,2.4,Observation Cases - Total,2.4
WCMC+CMC,WCMC+CMC,Outpatient Cases,Outpatient Cases,Outpatient Cases,WCMC,34,2.5,2.5,2,Outpatient Cases,CMC/WC,11,2.5,Outpatient Cases,2.5
WCMC+CMC,WCMC+CMC,Outpatient Cases,Outpatient Cases,Outpatient Cases,CMC,34,2.5,2.5,2,Outpatient Cases,CMC/WC,11,2.5,Outpatient Cases,2.5
WCMC+CMC,WCMC+CMC,Outpatient Visits,Outpatient Visits,Outpatient Visits,WCMC,35,2.6,2.6,2,Outpatient Visits,CMC/WC,11,2.6,Outpatient Visits,2.6
WCMC+CMC,WCMC+CMC,Outpatient Visits,Outpatient Visits,Outpatient Visits,CMC,35,2.6,2.6,2,Outpatient Visits,CMC/WC,11,2.6,Outpatient Visits,2.6
